╔══════════════════════════════════════════════════════════════════════════════╗
║                    ZPL/EPL Rendering Diff Report                            ║
╠══════════════════════════════════════════════════════════════════════════════╣
║ Name                           │ Ext  │    Diff% │   Actual(WxH) │ Expected(WxH) │ Status       ║
║ reverse                        │ zpl  │    0.41% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ reverse_qr                     │ zpl  │    0.33% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ royalmail                      │ zpl  │    3.33% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ seur                           │ zpl  │    3.44% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ swisspost                      │ zpl  │    1.49% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ templating                     │ zpl  │    1.43% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ text_fallback_default          │ zpl  │    4.10% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ text_fo_b                      │ zpl  │    0.06% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ text_fo_i                      │ zpl  │    0.06% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ text_fo_n                      │ zpl  │    0.03% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ text_fo_r                      │ zpl  │    0.04% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ text_ft_auto_pos               │ zpl  │    1.20% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ text_ft_b                      │ zpl  │    0.03% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ text_ft_i                      │ zpl  │    0.03% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ text_ft_n                      │ zpl  │    0.03% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ text_ft_r                      │ zpl  │    0.04% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ text_multiline                 │ zpl  │    0.57% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ tnt_express                    │ zpl  │    3.88% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ ups                            │ zpl  │    6.91% │      813x1626 │      813x1626 │ MODERATE(<15%) ║
║ ups_surepost                   │ zpl  │   10.66% │      813x1626 │      813x1626 │ MODERATE(<15%) ║
║ usps                           │ zpl  │    4.80% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ yodel                          │ zpl  │    3.54% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
╠══════════════════════════════════════════════════════════════════════════════╣
║ Summary: 83 total │ 4 perfect │ 26 good │ 42 minor │ 11 moderate │ 0 high │ 0 skip │ 0 err
╚══════════════════════════════════════════════════════════════════════════════╝
